xs,ys
-4315658.095809585,5.301801343202724e-06
-4315588.088808886,5.262433038297839e-06
-4315518.081808185,5.223143370111357e-06
-4315448.074807486,5.1839332604277554e-06
-4315378.067806785,5.144803630393328e-06
-4315308.060806085,5.10575540050247e-06
-4315238.053805385,5.066789490575639e-06
-4315168.046804685,5.027906819745595e-06
-4315098.039803985,4.989108306435381e-06
-4315028.032803285,4.950394868344561e-06
-4314958.025802585,4.911767422427782e-06
-4314888.018801885,4.873226884878365e-06
-4314818.011801185,4.8347741711120306e-06
-4314748.0048004845,4.796410195745304e-06
-4314677.997799785,4.758135872581847e-06
-4314607.990799084,4.719952114590386e-06
-4314537.983798385,4.6818598338908655e-06
-4314467.976797684,4.6438599417326725e-06
-4314397.969796984,4.605953348480622e-06
-4314327.962796284,4.568140963593076e-06
-4314257.955795584,4.530423695608039e-06
-4314187.948794884,4.492802452121447e-06
-4314117.941794184,4.455278139773005e-06
-4314047.934793484,4.417851664225015e-06
-4313977.927792784,4.3805239301459065e-06
-4313907.920792084,4.3432958411939104e-06
-4313837.913791384,4.306168299995618e-06
-4313767.906790684,4.269142208132182e-06
-4313697.899789983,4.232218466117388e-06
-4313627.892789284,4.19539797338385e-06
-4313557.885788583,4.158681628261099e-06
-4313487.878787884,4.122070327961785e-06
-4313417.871787183,4.085564968559812e-06
-4313347.864786483,4.049166444976418e-06
-4313277.857785783,4.012875650958491e-06
-4313207.850785083,3.976693479064634e-06
-4313137.843784383,3.940620820643378e-06
-4313067.836783683,3.904658565819314e-06
-4312997.829782983,3.8688076034719395e-06
-4312927.822782283,3.833068821219194e-06
-4312857.815781583,3.7974431054011407e-06
-4312787.8087808825,3.7619313410588955e-06
-4312717.801780183,3.7265344119206497e-06
-4312647.794779482,3.6912532003800347e-06
-4312577.787778783,3.6560885874822483e-06
-4312507.780778082,3.6210414529024697e-06
-4312437.773777382,3.586112674931865e-06
-4312367.766776682,3.551303130456159e-06
-4312297.759775982,3.51661369494175e-06
-4312227.752775282,3.4820452424140766e-06
-4312157.745774582,3.4475986454437312e-06
-4312087.738773882,3.4132747751255668e-06
-4312017.731773182,3.37907450106248e-06
-4311947.724772482,3.344998691348917e-06
-4311877.717771782,3.3110482125502175e-06
-4311807.710771082,3.277223929688588e-06
-4311737.703770381,3.2435267062218096e-06
-4311667.696769682,3.20995740402922e-06
-4311597.689768981,3.176516883390687e-06
-4311527.682768282,3.1432060029724516e-06
-4311457.675767581,3.110025619806031e-06
-4311387.668766881,3.0769765892743066e-06
-4311317.661766181,3.04405976509037e-06
-4311247.654765481,3.011275999283539e-06
-4311177.6477647815,2.9786261421788492e-06
-4311107.640764081,2.946111042380828e-06
-4311037.633763381,2.9137315467573898e-06
-4310967.626762681,2.881488500419264e-06
-4310897.619761981,2.8493827467061037e-06
-4310827.6127612805,2.8174151271656503e-06
-4310757.605760581,2.7855864815396155e-06
-4310687.59875988,2.753897647743046e-06
-4310617.591759181,2.722349461850338e-06
-4310547.58475848,2.690942758074445e-06
-4310477.57775778,2.659678368753016e-06
-4310407.57075708,2.628557124327684e-06
-4310337.56375638,2.5975798533301103e-06
-4310267.556755681,2.56674738236189e-06
-4310197.54975498,2.536060536078472e-06
-4310127.54275428,2.505520137173328e-06
-4310057.53575358,2.4751270063576857e-06
-4309987.52875288,2.4448819623466903e-06
-4309917.52175218,2.4147858218391533e-06
-4309847.51475148,2.384839399503414e-06
-4309777.507750779,2.355043507957187e-06
-4309707.50075008,2.3253989577536536e-06
-4309637.493749379,2.2959065573611734e-06
-4309567.48674868,2.2665671131493917e-06
-4309497.479747979,2.2373814293692456e-06
-4309427.472747279,2.2083503081388465e-06
-4309357.46574658,2.1794745494240645e-06
-4309287.458745879,2.1507549510225404e-06
-4309217.4517451795,2.1221923085480687e-06
-4309147.444744479,2.093787415410956e-06
-4309077.437743779,2.0655410628042087e-06
-4309007.430743079,2.0374540396837138e-06
-4308937.423742379,2.009527132754452e-06
-4308867.4167416785,1.981761126450648e-06
-4308797.409740979,1.9541568029220924e-06
-4308727.402740278,1.9267149420143906e-06
-4308657.395739579,1.8994363212551857e-06
-4308587.388738878,1.872321715834703e-06
-4308517.381738178,1.8453718985918853e-06
-4308447.374737478,1.818587639994937e-06
-4308377.367736778,1.791969708127576e-06
-4308307.360736079,1.7655188686701237e-06
-4308237.353735378,1.7392358848838966e-06
-4308167.346734678,1.7131215175958224e-06
-4308097.339733978,1.6871765251795591e-06
-4308027.332733278,1.661401663541859e-06
-4307957.325732578,1.6357976861033377e-06
-4307887.318731878,1.610365343784949e-06
-4307817.311731177,1.5851053849888323e-06
-4307747.304730478,1.5600185555848176e-06
-4307677.297729777,1.535105598891374e-06
-4307607.2907290775,1.5103672556621414e-06
-4307537.283728377,1.485804264067007e-06
-4307467.276727677,1.461417359678582e-06
-4307397.269726978,1.4372072754538004e-06
-4307327.262726277,1.4131747417188633e-06
-4307257.2557255775,1.3893204861539603e-06
-4307187.248724877,1.3656452337752085e-06
-4307117.241724177,1.3421497069210712e-06
-4307047.234723477,1.3188346252339136e-06
-4306977.227722777,1.2957007056465687e-06
