x,y
-4.04263579357936E+06,8.09012981614826E-06
-4.04262379237924E+06,8.19240015887302E-06
-4.04261179117912E+06,8.29532880733375E-06
-4.042599789979E+06,8.39891588763341E-06
-4.04258778877888E+06,8.50316152157866E-06
-4.04257578757876E+06,8.60806582667486E-06
-4.04256378637864E+06,8.7136289161223E-06
-4.04255178517852E+06,8.8198508988113E-06
-4.0425397839784E+06,8.92673187931838E-06
-4.04252778277828E+06,9.03427195790563E-06
-4.04251578157816E+06,9.14247123050027E-06
-4.04250378037804E+06,9.25132978871487E-06
-4.04249177917792E+06,9.36084771982696E-06
-4.0424797779778E+06,9.47102510677868E-06
-4.04246777677768E+06,9.58186202817275E-06
-4.04245577557756E+06,9.69335855826808E-06
-4.04244377437744E+06,9.80551476697606E-06
-4.04243177317732E+06,9.91833071985596E-06
-4.0424197719772E+06,1.00318064781114E-05
-4.04240777077708E+06,1.01459420985901E-05
-4.04239576957696E+06,1.02607376337628E-05
-4.04238376837684E+06,1.03761931317453E-05
-4.04237176717672E+06,1.0492308636277E-05
-4.0423597659766E+06,1.06090841867214E-05
-4.04234776477648E+06,1.07265198180623E-05
-4.04233576357636E+06,1.08446155608992E-05
-4.04232376237624E+06,1.09633714414447E-05
-4.04231176117612E+06,1.10827874815192E-05
-4.042299759976E+06,1.12028636985483E-05
-4.04228775877588E+06,1.13236001055628E-05
-4.04227575757576E+06,1.1444996711177E-05
-4.04226375637564E+06,1.15670535196122E-05
-4.04225175517552E+06,1.16897705306749E-05
-4.0422397539754E+06,1.18131477397575E-05
-4.04222775277528E+06,1.19371851378347E-05
-4.04221575157516E+06,1.20618827114599E-05
-4.04220375037504E+06,1.21872404427615E-05
-4.04219174917492E+06,1.23132583094392E-05
-4.0421797479748E+06,1.24399362847659E-05
-4.04216774677468E+06,1.25672743375637E-05
-4.04215574557456E+06,1.26952724322305E-05
-4.04214374437444E+06,1.28239305287165E-05
-4.04213174317432E+06,1.29532485825259E-05
-4.0421197419742E+06,1.30832265447134E-05
-4.04210774077408E+06,1.32138643618807E-05
-4.04209573957396E+06,1.3345161976173E-05
-4.04208373837384E+06,1.34771193252763E-05
-4.04207173717372E+06,1.3609736342413E-05
-4.0420597359736E+06,1.37430129563448E-05
-4.04204773477348E+06,1.38769490913483E-05
-4.04203573357336E+06,1.40115446672425E-05
-4.04202373237324E+06,1.41467995993655E-05
-4.04201173117312E+06,1.4282713798576E-05
-4.041999729973E+06,1.44192871712502E-05
-4.04198772877288E+06,1.45565196192792E-05
-4.04197572757276E+06,1.46944110400649E-05
-4.04196372637264E+06,1.48329613265178E-05
-4.04195172517252E+06,1.49721703670535E-05
-4.0419397239724E+06,1.51120380455953E-05
-4.04192772277228E+06,1.52525642415492E-05
-4.04191572157216E+06,1.53937488298338E-05
-4.04190372037204E+06,1.55355916808554E-05
-4.04189171917192E+06,1.56780926605109E-05
-4.0418797179718E+06,1.58212516301842E-05
-4.04186771677168E+06,1.59650684467442E-05
-4.04185571557156E+06,1.6109542962541E-05
-4.04184371437144E+06,1.6254675025404E-05
-4.04183171317132E+06,1.64004644786385E-05
-4.0418197119712E+06,1.65469111610289E-05
-4.04180771077108E+06,1.66940149068132E-05
-4.04179570957096E+06,1.68417755457144E-05
-4.04178370837084E+06,1.69901929029147E-05
-4.04177170717072E+06,1.71392667990593E-05
-4.0417597059706E+06,1.72889970502529E-05
-4.04174770477048E+06,1.74393834680582E-05
-4.04173570357036E+06,1.7590425859492E-05
-4.04172370237024E+06,1.77421240270238E-05
-4.04171170117012E+06,1.78944777685727E-05
-4.04169969997E+06,1.8047486877511E-05
-4.04168769876988E+06,1.82011511426378E-05
-4.04167569756976E+06,1.83554703482128E-05
-4.04166369636964E+06,1.85104442739293E-05
-4.04165169516952E+06,1.86660726949184E-05
-4.0416396939694E+06,1.88223553817463E-05
-4.04162769276928E+06,1.89792921004125E-05
-4.04161569156916E+06,1.91368826123466E-05
-4.04160369036904E+06,1.92951266744069E-05
-4.04159168916892E+06,1.9454024038884E-05
-4.0415796879688E+06,1.96135744534741E-05
-4.04156768676868E+06,1.97737776613131E-05
-4.04155568556856E+06,1.9934633400951E-05
-4.04154368436844E+06,2.00961414063547E-05
-4.04153168316832E+06,2.0258301406907E-05
-4.0415196819682E+06,2.04211131274037E-05
-4.04150768076808E+06,2.05845762880522E-05
-4.04149567956796E+06,2.07486906044688E-05
-4.04148367836784E+06,2.09134557876775E-05
-4.04147167716772E+06,2.10788715441137E-05
-4.0414596759676E+06,2.12449375755974E-05
-4.04144767476748E+06,2.1411653579369E-05
-4.04143567356736E+06,2.15790192480625E-05
-4.04142367236724E+06,2.17470342697094E-05
-4.04141167116712E+06,2.19156983277377E-05
-4.041399669967E+06,2.20850111009691E-05
-4.04138766876688E+06,2.22549722636182E-05
-4.04137566756676E+06,2.24255814852904E-05
-4.04136366636664E+06,2.25968384309798E-05
-4.04135166516652E+06,2.2768742761075E-05
-4.0413396639664E+06,2.29412941313304E-05
-4.04132766276628E+06,2.31144921929041E-05
-4.04131566156616E+06,2.32883365923307E-05
-4.04130366036604E+06,2.34628269715254E-05
-4.04129165916592E+06,2.36379629677834E-05
-4.0412796579658E+06,2.38137442137775E-05
-4.04126765676568E+06,2.39901703375574E-05
