x,y
-5.113109318478533005e+00,6.408270603322802879e-06
-5.107076151141095366e+00,6.529307000364497212e-06
-5.101042983803657727e+00,6.652618796672758085e-06
-5.095009816466220087e+00,6.778248428002699155e-06
-5.088976649128781560e+00,6.906239117458589104e-06
-5.082943481791343920e+00,7.036634889920646389e-06
-5.076910314453906281e+00,7.169480586733863643e-06
-5.070877147116468642e+00,7.304821880663018947e-06
-5.064843979779031002e+00,7.442705291119057830e-06
-5.058810812441592475e+00,7.583155900047081684e-06
-5.052777645104154836e+00,7.726265581118742600e-06
-5.046744477766717196e+00,7.872062133132513379e-06
-5.040711310429279557e+00,8.020595618384946730e-06
-5.034678143091841918e+00,8.171917026127554890e-06
-5.028644975754403390e+00,8.326078289522213720e-06
-5.022611808416965751e+00,8.483132302903170698e-06
-5.016578641079528111e+00,8.643132939351692783e-06
-5.010545473742090472e+00,8.806135068588222880e-06
-5.004512306404652833e+00,8.972170230713167065e-06
-4.998479139067214305e+00,9.141344225081894385e-06
-4.992445971729777554e+00,9.313679184952309992e-06
-4.986412804392339027e+00,9.489256788351826450e-06
-4.980379637054901387e+00,9.668123681962157912e-06
-4.974346469717463748e+00,9.850344391801269596e-06
-4.968313302380026109e+00,1.003551940581130412e-05
-4.962280135042588469e+00,1.022467773258358773e-05
-4.956246967705149942e+00,1.041737405164720727e-05
-4.950213800367712302e+00,1.061401907658256183e-05
-4.944180633030274663e+00,1.081413543728472594e-05
-4.938147465692837024e+00,1.101759122649160386e-05
-4.932114298355399384e+00,1.122512585648174754e-05
-4.926081131017960857e+00,1.143652207957577895e-05
-4.920047963680523218e+00,1.165187092463673602e-05
-4.914014796343085578e+00,1.187124891470097835e-05
-4.907981629005647939e+00,1.209473185143403666e-05
-4.901948461668210300e+00,1.232239637724434937e-05
-4.895915294330771772e+00,1.255432034830712476e-05
-4.889882126993335021e+00,1.279058296962343101e-05
-4.883848959655896493e+00,1.303126486321195579e-05
-4.877815792318458854e+00,1.327644811326319431e-05
-4.871782624981021215e+00,1.352621630226356810e-05
-4.865749457643583575e+00,1.378065454331483453e-05
-4.859716290306145936e+00,1.403984951084105888e-05
-4.853683122968707409e+00,1.430388947069123700e-05
-4.847649955631269769e+00,1.457286431013830711e-05
-4.841616788293832130e+00,1.484686556804094783e-05
-4.835583620956394491e+00,1.512598646531792283e-05
-4.829550453618956851e+00,1.541032193582592502e-05
-4.823517286281518324e+00,1.569996865769845548e-05
-4.817484118944080684e+00,1.599502508518441983e-05
-4.811450951606643045e+00,1.629559148101628104e-05
-4.805417784269205406e+00,1.660176994932838044e-05
-4.799384616931767766e+00,1.691366446914475467e-05
-4.793351449594329239e+00,1.723139400298759970e-05
-4.787318282256892488e+00,1.755504173693739638e-05
-4.781285114919453960e+00,1.788472810521023171e-05
-4.775251947582016321e+00,1.822056590560674322e-05
-4.769218780244578682e+00,1.856259789732358633e-05
-4.763185612907141042e+00,1.891108932858106070e-05
-4.757152445569703403e+00,1.926607684071430788e-05
-4.751119278232264875e+00,1.962768350714793147e-05
-4.745086110894827236e+00,1.999603140253519422e-05
-4.739052943557389597e+00,2.037124550018710976e-05
-4.733019776219951957e+00,2.075355293814431999e-05
-4.726986608882514318e+00,2.114298796935809983e-05
-4.720953441545075790e+00,2.153956655356769302e-05
-4.714920274207638151e+00,2.194344563623758744e-05
-4.708887106870200512e+00,2.235494565515640141e-05
-4.702853939532762872e+00,2.277411030547501247e-05
