cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
10,1.6,10,9655.67,-0.38762,20.5421,12.3495,92.8919,0.123178,424.789,113.238,1.28792,0.0866517,-3.04724,-1.4581,-1.48007,-277.703,392.057,59.7068,11026.1,9961.61,3.03654,1.83527,0.450001,0.29052,0.268554,0.923481,781.562,88.559,11415.6,0.0770591,0.83452,0.0140892,10142.4 
11,4,11,6087.09,-0.0100871,16.7562,11.0287,93.5873,-0.132582,165.167,4.35123,-1.00002,-0.0190537,0.173603,2.72447,-6.86533,-400.805,7258.42,35.6296,1762.84,6728.67,1.52374,2.50471,5.22113,5.24823,-4.34157,0.485919,7820.59,77.2717,2325,0.804001,0.983003,0.0576905,9727.09 
12,6,12,6712.26,-0.0148153,17.7302,-11.2886,93.397,-0.0272086,35.3646,500,-1.04324,-1.10956,3.3842,-0.0245414,-2.89753,-352.111,6790,45.3221,2830.43,6546.82,1.17391,1.10759,7.8185,2.19261,-0.68038,0.326701,7283.87,81.905,3324.3,0.727674,0.980702,0.0434158,10009.8 
13,10,13,10340.4,-0.0054594,20.8022,12.4678,92.5717,0.000593951,0.798218,3.23695e-11,-5.42974,-4.07016,-1.19593,-2.22721,-1.75106,-240.78,842.813,23.1276,11557.3,8442.93,-3.91361,-2.55403,1.83632,-0.711076,-0.23493,1.32925,1180.53,48.1437,11895,0.107964,0.933387,0.00740052,10934.5 
14,0,14,9761.14,-0.0211897,20.6131,11.9003,92.7479,0.00157581,8.33849,500,-3.09229,-0.648086,-7.46811,-5.17673,-3.77369,-235.173,38.7848,30.3303,11563.4,7985.82,-1.61147,0.832737,-4.50647,-3.6959,-2.29287,0.600277,368.638,54.7639,11893.2,0.0364227,0.793666,0.00841086,10121.1 
15,3.5,15,6330.19,-0.567274,17.2173,11.7226,93.2812,0.440133,682.431,302.509,1.60032,4.44286,-0.572807,-1.47667,-2.42212,-323.321,6050.84,25.5313,3003.42,16348,3.63619,6.47873,3.49893,0.5592,-0.386249,0.746212,6504.33,59.1231,3456.91,0.69647,0.984342,0.0305431,9339 
16,7,16,7240.51,-0.0788661,17.9944,11.7024,93.4146,0.0308039,61.5718,3.53243e-06,-1.54844,0.0563686,0.21394,-4.33279,-6.3725,-355.739,4471.11,37.4505,5549.26,6916.74,0.691554,2.29637,4.69393,-2.0928,-4.13251,-2.22264,4970.07,74.4104,6048.22,0.50053,0.974468,0.022161,9929.61 
17,1.55,17,10176,-0.0341055,20.7869,12.2126,92.732,0.0976124,-165.815,1.26882e-09,-2.12861,1.39033,4.01459,-5.14337,-1.51647,-247.978,229.388,37.7932,11755,8790.94,-0.567157,2.95178,7.13749,-3.58192,0.04498,-0.19253,577.201,63.5571,12102.8,0.0549635,0.838436,0.00958098,10501.5 
18,5,18,6716.37,-0.364333,18.6116,11.6711,93.3674,12.6608,-9902.03,0.00132915,5.34724,-0.462805,-0.631263,-4.09744,-5.83696,-462.322,8650.94,40.5702,1368.83,4.08819e+06,8.25836,2.44832,5.19098,-1.18632,-2.92584,0.559545,9299.39,88.6037,2017.28,0.848983,0.9836,0.0748532,10953.6 
19,2.4,19,7576.25,-0.46637,18.6129,11.683,92.8546,0.0472211,161.948,492.145,0.920366,-4.67662,0.69428,-5.08746,-7.62547,-293.333,2512.65,60.0304,7485.56,7327.82,2.76741,-2.82958,4.38836,-3.24042,-5.77843,1.93516,2924.08,90.5066,7896.98,0.311085,0.948617,0.0206757,9399.61 
20,3,20,6473.44,-0.512916,16.9988,11.6937,93.2282,0.125849,-187.855,318.275,-0.920483,1.28493,6.96791,0.977652,-1.37739,-322.385,4474.73,48.9356,4549.93,7240.51,1.10949,3.3149,11.0279,3.00762,0.652576,0.423001,4926.91,82.4301,5002.11,0.545698,0.971554,0.0294618,9028.64 
21,1.65,21,9551.21,-0.315855,20.0973,12.1054,92.4737,0.166032,170.583,499.988,1.79205,-2.3501,2.98587,-1.92166,-2.18337,-343.502,204.866,35.353,10997.1,8841.72,3.95499,-0.187159,7.31176,0.241279,-0.0204238,0.352967,686.662,71.0416,11478.9,0.0679904,0.846701,0.011272,10099.4 
22,2.6,22,8054.83,-0.466135,19.1141,11.9192,92.9387,0.608635,104.86,10.4853,-0.944325,0.57618,-6.69519,-2.60012,-3.61641,-344.571,3333.59,34.963,7004.89,9494.02,1.22535,2.74585,-2.35585,-0.430445,-1.44674,-7.99755,3816.89,70.7626,7488.19,0.383329,0.968576,0.0171099,9957.2 
23,2.1,23,8637.37,-0.295864,19.5591,12.0637,92.9492,0.423023,193.155,499.322,1.63767,-2.92643,-1.64611,-1.82056,-3.06724,-333.948,1584.65,28.5663,9270.97,10341,3.74044,-0.823648,2.55944,0.28222,-0.964459,0.466115,2053.04,63.2622,9739.37,0.2045,0.948835,0.0118239,10039.3 
24,2.2,24,9262.09,-0.363407,20.1793,12.1416,92.6083,1.14963,-1256.86,6.92215e-09,-3.27673,-2.61732,-2.08776,1.45365,-1.97169,-340.249,2063.7,50.1483,9145.59,55013.2,-1.13427,-0.474862,2.19715,3.5961,0.170769,0.495475,2540.93,85.4988,9622.82,0.243579,0.944389,0.0161035,10431.6 
25,1.8,25,8570.38,-0.334687,18.5803,12.1777,92.5986,0.608752,410.15,499.995,-0.671577,1.16726,-4.68292,-2.44657,-2.76038,-260.677,575.66,30.0236,9774.56,15493.6,0.969839,2.80868,-1.40008,-0.805153,-1.11896,4.0817,941.286,57.107,10140.2,0.101692,0.904019,0.0102678,9256.24 
26,9,26,9465.79,-0.373803,19.2661,12.8724,92.3633,0.0660416,-168.776,400.657,-1.48419,-1.99398,-1.45985,-5.75966,-0.726515,-276.567,673.126,43.323,10632,8436.11,0.257284,-0.252511,2.02309,-4.01819,1.01496,3.07418,1061.04,72.0573,11019.9,0.105081,0.893778,0.0119019,10097.3 
27,2.8,27,7282.7,-0.562936,18.9519,11.5768,93.0246,-1.34407,819.898,54.9825,-3.19602,-1.02798,1.18784,-5.73262,-6.48407,-389.084,4165.41,29.1003,5777.65,43015.9,-0.746067,1.42197,6.08775,-3.28266,-4.03412,12.0063,4711.13,69.5246,6323.37,0.47605,0.974825,0.0198516,9896.3 
28,1.35,28,9095.82,-0.127454,18.6539,12.1741,92.4844,0.0554293,36.9387,1.48304e-07,-1.80801,-0.582535,-10.7679,-2.55399,-3.74455,-234.715,-32.8986,22.3808,10702.7,7459.33,-0.330075,0.895401,-7.81206,-1.07606,-2.26661,0.262275,296.312,46.7668,11032,0.0317165,0.783575,0.00774856,9342.51 
29,1.2,29,8710.06,-0.356114,19.1869,11.9655,92.511,0.843408,-51.3975,376.49,-2.41868,-3.44443,-4.12654,-1.59196,-5.66746,-149.727,-59.6406,17.201,10693.9,8884.74,-1.47589,-2.50164,-2.24095,-0.64917,-4.72467,0.806687,150.366,32.7571,10903.9,0.016539,0.72399,0.0055035,9091.6 
30,1.4,30,9881.53,-0.188991,20.9668,12.017,92.3446,0.165858,5.08016,500,-3.24194,-2.23075,-4.89639,-2.77101,-3.33155,-278.208,134.3,31.8707,11580.7,8229.5,-1.49014,-0.47895,-1.39278,-1.0192,-1.57975,0.766344,524.514,60.7755,11970.9,0.0507236,0.831412,0.00926561,10340.6 
31,1.45,31,8250.59,-0.320098,17.9043,12.0371,92.8442,2.10628,394.233,219.505,-5.3967,-3.2937,-0.529277,-1.27325,0.177194,-185.012,-41.9458,12.6891,10020.6,34046.8,-4.23173,-2.12873,1.80067,-0.108276,1.34217,1.54141,217.552,31.9111,10280.1,0.0251586,0.795738,0.0056857,8647.21 
32,8,32,9102.01,-0.330285,19.996,12.4503,92.7779,-0.164074,244.365,2.31973e-08,-4.89111,-2.36644,-6.72799,-4.6124,-4.2093,-296.244,2456.32,16.0238,9108.64,9409.49,-3.02574,-0.501066,-2.99724,-2.74703,-2.34393,0.741951,2871.83,46.8025,9524.15,0.268857,0.972271,0.00897105,10681.6 
33,2,33,8531.91,-0.369388,19.1787,11.8473,92.9826,-0.3556,217.929,243.702,-2.87174,-2.11377,-2.06676,-1.27214,-3.22623,-252.372,1156.01,42.2859,9260.5,9919.34,-1.28262,-0.52465,1.11148,0.316985,-1.63711,1.55135,1509.99,68.5063,9614.48,0.160742,0.926445,0.0129556,9393.86 
34,1.3,34,9514.63,0.0156267,20.2996,11.7988,92.2378,-0.0120052,11.6173,1.95556e-12,-5.00705,-0.959443,-8.62334,0.647597,-1.20773,-252.321,-33.9,24.8327,11503.8,7801.42,-3.41825,0.629354,-5.44575,2.23639,0.38107,0.0305201,320.004,51.0478,11857.7,0.0318624,0.781761,0.00786794,10043.3 
35,1.75,35,9171,-0.0429464,20.0846,11.7955,92.2999,0.0356793,30.915,499.978,-0.106792,3.55218,-0.931586,-1.18653,-0.973221,-245.048,561.157,15.1249,10568.4,7748.08,1.43621,5.09518,2.15442,0.356466,0.56978,0.775863,904.861,40.5844,10912.1,0.091838,0.927222,0.00680456,9852.79 
36,1.6,36,10164.6,-0.385025,21.3463,12.3887,92.1718,0.00465221,1101.04,299.556,-3.17249,0.467166,-0.749362,-4.78655,0.590197,-193.894,300.891,53.6643,11704.7,8775.55,-1.95158,1.68807,1.69244,-3.56565,1.8111,6.19753,572.847,73.8092,11976.6,0.055115,0.816006,0.0112251,10393.7 
37,4,37,6143.78,-0.441787,15.8904,11.6294,93.0176,0.524972,256.23,152.57,4.18707,-1.6063,1.00215,2.02224,-3.03787,-383.579,6706.47,72.5148,1789.21,10394.6,6.60236,0.808994,5.83273,4.43753,-0.622578,0.658086,7244.48,112.367,2327.21,0.791505,0.973574,0.0816793,9152.79 
38,6,38,7021.35,-0.491206,17.2531,12.0684,92.942,-0.190419,-175.575,296.557,3.58504,-0.790702,5.76535,0.613869,-3.13604,-350.515,6604.78,52.9221,2758.38,7866.54,5.79214,1.4164,10.1796,2.82097,-0.928942,0.472018,7096.42,89.3392,3250.02,0.726985,0.978444,0.0481968,9761.43 
39,10,39,9349.64,-0.15428,19.0367,12.4541,92.2991,0.344404,16.1885,500,-4.77,-0.588603,-2.51322,-3.6665,-3.23768,-176.114,563.318,41.355,10584.2,7899.38,-3.66105,0.520342,-0.295332,-2.55755,-2.12873,0.963639,810.336,59.6526,10831.2,0.0836092,0.885876,0.0100434,9691.94 
40,0,40,10661.6,-0.022973,21.3237,12.1453,92.5282,-0.0212418,36.5091,500,2.85915,-4.31656,-1.50101,-2.61076,-1.35034,-221.928,23.6233,33.9602,12203.9,8455.97,4.25657,-2.91914,1.29383,-1.21334,0.0470833,0.116847,334.899,57.0176,12515.1,0.0316023,0.77045,0.00832259,10597.3 
41,3.5,41,6793.26,-0.313986,18.113,11.3702,93.1728,-0.174413,271.833,1.16789e-08,1.5622,0.847137,0.950683,-0.274021,-2.70738,-381.383,6439.35,58.5636,3143.14,8247.67,3.96367,3.2486,5.75361,2.12744,-0.305915,0.610911,6974.28,98.1878,3678.07,0.698105,0.975955,0.046871,9990.29 
42,7,42,8276.12,-0.0496398,19.4984,11.8946,92.8621,0.00840629,16.7342,499.441,-2.76405,1.86096,-1.98012,-0.770355,-2.46162,-329.758,4931.42,63.2835,6130.31,7554.53,-0.687655,3.93736,2.17268,1.30604,-0.385221,0.657479,5393.94,97.5441,6592.83,0.499436,0.969324,0.0265317,10800.1 
43,1.55,43,9660.98,-0.350141,20.0934,12.4126,92.2065,0.339679,-391.161,440.984,-0.762956,-3.62214,-7.57091,-5.29725,-2.93867,-234.468,70.588,37.0102,11397.3,12444.5,0.713428,-2.14575,-4.61814,-3.82087,-1.46229,0.592527,399.453,61.3705,11726.1,0.0398859,0.788106,0.00954889,10014.9 
44,5,44,6870.47,-0.575994,17.7544,12.0846,92.9464,0.00397653,963.976,9.70811,1.89511,5.15619,-0.832168,2.73384,-0.634605,-340.494,8194.08,78.6533,1472.64,7109.29,4.03911,7.3002,3.45583,4.87784,1.5094,0.836853,8671.66,114.029,1950.22,0.844299,0.977506,0.0972351,10270.8 
45,2.4,45,8942.86,-0.183152,20.2843,11.7699,92.2792,0.83444,-1013.87,500,-2.94536,-2.72922,-7.97876,-1.10719,-4.4815,-293.308,3028.53,44.9854,8092.79,35312.5,-1.09848,-0.882333,-4.28499,0.739694,-2.63462,0.474925,3439.92,75.459,8504.19,0.330337,0.963031,0.0160824,10413.4 
46,3,46,8060.03,-0.324353,19.7239,11.7462,92.484,0.876429,59.1555,1.72264e-11,-3.41439,-0.898254,-0.70041,-4.83032,-6.3559,-310.338,5544.95,56.9156,5224.58,9229.72,-1.46028,1.05586,3.20782,-2.87621,-4.40179,1.71689,5980.23,89.1585,5659.86,0.56304,0.974573,0.0281999,10621.3 
47,1.65,47,9684.66,-0.0449715,20.6805,11.8964,92.171,-0.0223397,78.6852,448.82,-3.50193,-5.64596,-2.9607,-2.36037,3.85788,-264.054,428.035,10.3875,11131.7,8066.08,-1.83925,-3.98328,0.364652,-0.69769,5.52056,1.57424,798.396,37.8217,11502.1,0.0780438,0.923445,0.00602083,10230.1 
48,2.6,48,7546.9,-0.176603,18.3128,11.7073,92.5273,-0.494226,140.876,11.3564,-1.9261,-1.59113,-1.54585,-4.15968,-3.6673,-293.811,3336.51,44.8351,6702.88,9245.71,-0.0760502,0.258921,2.15425,-2.30963,-1.81725,2.20365,3748.61,75.3609,7114.97,0.391177,0.966014,0.0191379,9582.89 
49,2.1,49,9724.04,-0.313741,20.7086,12.2053,92.5208,0.27788,89.5054,500,-5.15237,2.16076,-3.75579,-3.71377,-4.78623,-271.952,1779.78,25.2684,9745.18,9037.64,-3.43996,3.87317,-0.330974,-2.00136,-3.07382,0.933445,2161.21,53.5232,10126.6,0.206517,0.958461,0.00964237,10465 
50,2.2,50,8644.01,-0.0377474,19.6305,11.6308,92.2782,0.0653402,-48.1178,0.0108517,-1.70323,-4.09206,-0.0287614,-4.17219,2.57809,-280.375,1780.77,33.0306,9055.97,7534.86,0.0622198,-2.32661,3.50213,-2.40674,4.34353,-0.103198,2174.02,62.1604,9449.22,0.219103,0.952348,0.011973,9922.38 
51,1.8,51,9013.82,-0.254208,19.2528,12.2552,91.8982,0.534392,168.039,499.962,-2.94286,-2.81493,-6.78553,-2.36823,0.141145,-231.192,630.356,8.4927,10321.4,10604.1,-1.48711,-1.35918,-3.87401,-0.912476,1.5969,0.358168,954.626,32.5127,10645.6,0.098577,0.943751,0.00559447,9684.06 
52,9,52,10423,-0.00766471,20.6785,12.4528,91.936,0.00835596,-9.64215,500,-7.23579,-1.66321,-1.47676,-0.883962,-0.729548,-289.715,822.216,23.053,11275,8385.26,-5.41153,0.161048,2.17175,0.940293,1.09471,3.08076,1228.57,53.1532,11681.3,0.11368,0.929616,0.00831242,10807.2 
53,2.8,53,8414.36,0.0352245,19.4724,11.644,92.8046,-0.0294235,1.66875,2.24651e-13,-0.0545369,-1.61078,-2.70598,0.0124256,-5.66344,-340.828,4586.12,53.0873,6238.92,7382.62,2.09157,0.535327,1.58622,2.15853,-3.51733,0.444271,5064.17,88.498,6716.97,0.479013,0.970326,0.0236952,10572.1 
54,1.35,54,10268.4,-0.378427,21.769,12.2174,91.9907,-1.74947,2833.29,385.652,-2.19617,-1.559,-1.94539,-4.2919,0.957978,-216.162,37.1638,24.1887,12046.6,170016,-0.835054,-0.197883,0.776836,-2.93078,2.31909,1.89519,340.352,46.647,12349.8,0.0325161,0.806551,0.00690982,10467.2 
55,1.2,55,9805.71,-0.365894,20.7484,12.2654,92.2109,0.475803,-890.988,345.093,-0.313347,-1.02919,-4.30112,-1.53556,-0.59728,-269.742,28.3867,25.5202,11677.8,22084.9,1.38515,0.669307,-0.904129,0.162931,1.10122,1.37446,406.726,53.5454,12056.2,0.0395157,0.812752,0.008115,10292.8 
56,1.4,56,9423.94,-0.0541147,20.2892,11.9233,92.294,0.0370937,29.2504,500,0.0795684,-5.04393,-7.37255,-3.53208,-1.06045,-272.61,39.5289,17.859,11505.4,7910.46,1.79612,-3.32738,-3.93945,-1.81553,0.656099,0.405827,421.89,46.1821,11887.8,0.0414844,0.839234,0.00710544,10169.9 
57,1.45,57,9435.66,-0.0360977,19.5996,12.2408,91.7449,-0.0173997,46.8038,500,-4.07686,-1.38343,-9.19866,-3.2118,-2.43653,-245.131,185.536,27.5889,11137.3,7836.55,-2.53333,0.1601,-6.1116,-1.66827,-0.893004,0.446719,529.357,53.0571,11481.1,0.0532344,0.850773,0.00844096,9943.89 
58,8,58,9886.24,-0.419808,20.7546,12.6407,92.4212,1.39456,-1668,194.415,-1.13573,1.15377,-1.01406,-0.173192,0.144496,-381.815,2352.98,53.5202,9408.11,84263.7,1.26845,3.55795,3.79432,2.231,2.54868,0.716851,2888.51,93.1893,9943.64,0.261586,0.946559,0.0169708,11042.3 
59,2,59,7923.14,-0.400724,18.3194,11.8752,92.4461,0.453527,66.9222,201.441,0.721537,-3.7054,-3.22321,0.270961,-3.08391,-276.081,1002.88,50.5785,8986.82,8069.85,2.45995,-1.96699,0.253606,2.00937,-1.3455,0.820194,1390.11,79.2623,9374.05,0.153149,0.90927,0.015337,9076.83 
60,1.3,60,9842.09,-0.134669,20.6111,12.1724,92.0329,0.20415,-117.057,2.9862e-09,-2.09863,-0.780059,-4.75593,-0.295051,-2.70067,-210.031,94.2876,37.9872,11508.8,8945.12,-0.776121,0.542452,-2.11091,1.02746,-1.37816,0.216813,388.877,59.8087,11803.4,0.0386263,0.787931,0.00924775,10067.7 
61,1.75,61,9978.96,-0.0121962,21.1836,11.9029,92.3582,-0.00916812,-29.1356,499.899,0.22908,1.40276,-3.24651,-2.43662,2.91525,-260.192,665.66,26.8406,11357.3,8216.88,1.86744,3.04112,0.030212,-0.798257,4.55361,0.996525,1030.6,53.8736,11722.3,0.0968353,0.916188,0.00839494,10642.9 
62,1.6,62,10016.2,-0.357207,21.2648,12.1362,92.2583,-0.525173,-754.363,102.238,5.42331,-2.10462,-4.56227,-4.31109,-0.177687,-286.885,244.787,21.9708,11536.7,21297.8,7.22974,-0.298183,-0.9494,-2.50465,1.62875,1.18593,647.171,51.777,11939.1,0.062006,0.877186,0.00792545,10437.2 
63,4,63,6569.34,-0.224415,17.4639,11.3417,93.1082,2.32453,-1447.85,499.999,-1.78358,2.69053,0.757584,0.196587,0.204186,-363.022,7462.22,84.868,1795.6,116008,0.502271,4.97639,5.32929,2.48244,2.49004,0.662285,7971.39,122.585,2304.78,0.80835,0.973794,0.0892336,9861.31 
64,6,64,6350.78,-0.000378932,16.3493,11.3094,92.9812,-0.00502958,10.4578,1.07409e-06,0.107574,2.04443,-1.05393,2.04417,-1.36504,-286.619,6211.75,77.7385,2661.28,6020.83,1.91234,3.84919,2.5556,3.84893,0.43972,0.797268,6613.76,107.517,3063.3,0.724743,0.972338,0.0607287,9125.67 
65,10,65,9621.59,-0.389825,19.4117,13.0438,92.2157,0.425484,-313.433,191.983,-7.58058,-4.64727,-5.61967,2.34818,0.902227,-239.252,564.004,37.3082,10979.4,12583.9,-6.07407,-3.14076,-2.60666,3.85469,2.40874,0.531013,899.579,62.1656,11315,0.0883857,0.892113,0.0100193,10177.9 
66,0,66,9842.44,-0.360372,20.6372,12.3399,92.1809,-0.530625,1134.51,0.193372,-6.39395,-5.11775,-3.52969,1.13098,-3.43918,-233.91,-29.5227,41.1256,11643.7,27887.2,-4.92108,-3.64488,-0.583947,2.60385,-1.96631,0.9314,298.559,65.428,11971.8,0.0295151,0.722802,0.00996706,10115.5 
67,3.5,67,7792.86,-0.530331,19.5627,11.7271,92.5815,0.382643,-442.401,480.625,0.155334,-2.04117,-5.76066,0.444803,-0.319731,-331.159,6905.73,84.7361,3479.56,12978.8,2.24056,0.0440519,-1.59022,2.53002,1.76549,1.31869,7370.21,119.142,3944.05,0.695019,0.972489,0.0527132,10604.3 
68,7,68,8081.94,-0.0261247,18.58,11.8451,92.3297,0.0341076,-7.75479,5.90986e-10,-0.0802978,-0.165554,-1.10691,-2.54729,-0.350943,-383.793,4663.65,84.2618,5817.83,7173.02,2.33634,2.25109,3.72637,-0.13065,2.0657,0.636411,5201.96,124.136,6356.14,0.499516,0.959913,0.0347272,10414 
69,1.55,69,10111.2,0.00381523,21.0671,11.9412,92.1351,0.00259179,5.81866,2.31192e-12,3.3245,-0.293997,0.0272108,-7.22033,1.12145,-301.205,140.93,36.5698,11802.2,8189.77,5.22111,1.60261,3.82043,-5.32372,3.01806,0.541832,563.4,67.8639,12224.7,0.053213,0.825904,0.0101227,10587.6 
70,5,70,5622.71,-0.548575,15.599,11.8177,93.0025,1.0459,20.1031,21.9565,-2.85348,-0.0732042,4.49901,2.41182,0.87549,-349.866,7038.56,90.8176,1213.98,6685.44,-0.650469,2.12981,8.90503,4.61483,3.0785,0.507403,7529.28,127.167,1704.7,0.843415,0.971292,0.120815,8927.13 
71,2.4,71,8640.37,-0.309921,20.6801,11.8519,92.635,0.747332,84.8224,4.91651e-08,-6.18335,-0.704144,-8.1977,-0.674453,2.13041,-285.993,3016.48,76.6486,8438.97,10042.3,-4.38252,1.09668,-4.59605,1.12637,3.93123,-0.627328,3417.61,106.362,8840.11,0.320406,0.94835,0.0216832,10666.5 
72,3,72,7815.87,-0.366087,19.0726,11.6399,92.7703,0.122005,328.082,500,-2.27389,1.44735,2.42319,-3.22814,-1.38306,-295.541,4997.89,80.2103,5186.12,8529.99,-0.412942,3.3083,6.14508,-1.3672,0.47788,0.246106,5412.41,110.916,5600.64,0.540974,0.965379,0.0351973,10004.9 
73,1.65,73,9370.2,-0.384058,19.9857,12.3633,92.1136,0.198534,364.834,93.6806,-0.0688681,-0.801579,-5.50822,-6.44675,1.33546,-191.656,341.712,31.8654,11038.3,10401.4,1.13794,0.40523,-3.09461,-5.23994,2.54227,0.271705,610.529,51.7778,11307.1,0.0617796,0.870766,0.00836485,9882.37 
74,2.6,74,7549.98,-0.404062,18.22,11.516,92.2222,-0.142932,291.796,491.125,-1.15441,-0.246917,-0.239617,1.79536,2.24299,-284.508,3204.54,55.9713,6398.92,8188.08,0.637056,1.54455,3.34332,3.58683,4.03446,0.745682,3603.59,85.5306,6797.97,0.392636,0.96012,0.0226519,9177.92 
75,2.1,75,8157.31,-0.464026,19.212,11.9618,92.4477,-0.0172269,367.57,442.854,-2.53387,0.759072,-0.120729,-2.08314,-0.84959,-286.781,1484.35,21.6897,8914.3,7687.23,-0.728089,2.56485,3.49084,-0.277353,0.956193,0.418818,1886.59,51.4851,9316.54,0.198043,0.954419,0.0100773,9526.15 
76,2.2,76,8255.97,-0.4194,18.5855,12.2081,92.1101,0.161093,210.798,315.371,-4.26671,-2.26086,-1.01756,-2.09332,-0.881143,-284.539,1801.21,37.1485,8583.03,8491.57,-2.47505,-0.46919,2.56578,-0.301656,0.910523,-10.1359,2200.31,66.711,8982.12,0.230022,0.949615,0.0134968,9565.65 
77,1.8,77,8920.54,-0.0559763,19.5224,11.7306,91.7933,0.0305129,13.488,491.464,-2.55441,3.66148,2.07788,-2.55505,-2.54121,-270.523,651.553,22.4051,10265,7468.44,-0.851,5.36489,5.48471,-0.851637,-0.837794,0.339921,1030.99,50.5114,10644.4,0.10564,0.921032,0.00866565,9759.43 
78,9,78,10147.7,-0.400356,20.8186,12.7686,91.8099,0.127998,-118.38,328.921,-3.11595,-3.83593,-1.52421,-3.43255,-1.17452,-297.45,840.395,38.645,11311.9,9146.73,-1.24299,-1.96297,2.22171,-1.55958,0.698438,2.20392,1257.6,69.5488,11729.2,0.115636,0.91176,0.0108049,10875.5 
79,2.8,79,7277.91,-0.441061,18.1458,11.7174,92.3565,0.620899,-2063.18,4.96029e-07,-4.42806,-2.11895,-6.13644,-1.27205,-3.30853,-317.379,3959.59,47.8,5707.94,48623.2,-2.4296,-0.120497,-2.13954,0.7264,-1.31007,0.59427,4404.74,80.7745,6153.1,0.466096,0.968906,0.0236112,9450.28 
