Energy (MHz),Magnetic Field (G)
-3.010937895435961,208.7026655932072
-3.065864858956443,208.4057890447717
-3.121088056351733,208.1043018320773
-3.17660431370765,207.7980957055899
-3.232410513641044,207.4870589981528
-3.288503593463462,207.1710764935881
-3.344880544189967,206.8500292799503
-3.401538408756446,206.523794604841
-3.45847428146361,206.1922457143297
-3.515685306111977,205.8552516934135
-3.573168675354795,205.5126772889207
-3.630921628767901,205.1643827333324
-3.688941452860579,204.8102235497521
-3.74722547888174,204.4500503570599
-3.805771082512473,204.0837086547631
-3.864575682514067,203.7110386071661
-3.923636739978067,203.331874805608
-3.982951756843224,202.9460460283019
-4.042518275736486,202.5533749805787
-4.102333878469846,202.1536780210771
-4.162396185368805,201.7467648803175
-4.222702854509198,201.3324383529729
-4.283251580543907,200.9104939850067
-4.344040094629983,200.4807197313352
-4.405066162606183,200.0428956065356
-4.466327585133372,199.5967933032287
-4.527822196496479,199.1421758013583
-4.589547864015774,198.6787969418868
-4.651502487133238,198.2064009888488
-4.713683997485025,197.7247221520838
-4.776090356949633,197.2334840953218
-4.838719558317907,196.7323994006476
-4.901569623618197,196.2211690147569
-4.964638604379592,195.6994816466213
-5.027924580209664,195.1670131427194
-5.091425659114631,194.6234258079116
-5.155139975906382,194.068367698858
-5.219065692675783,193.5014718563637
-5.283200997363285,192.9223555042826
-5.347544103988718,192.3306191794962
-5.412093251459838,191.7258458213016
-5.476846703853365,191.1075997826553
-5.541802748959483,190.4754257922631
-5.606959698950624,189.8288478276547
-5.672315888911191,189.1673679276275
-5.737869676616774,188.4904649099661
-5.803619442861348,187.7975929981631
-5.869563589833772,187.088180362335
-5.935700541871924,186.3616275353248
-6.002028743899677,185.617305733362
-6.06854666243574,184.8545550307089
-6.13525278336884,184.0726824188266
-6.202145613638409,183.2709596953683
-6.269223678938356,182.4486212132428
-6.336485524841899,181.6048614302624
-6.403929715677641,180.7388322888961
-6.471554834388745,179.8496403610203
-6.539359482185782,178.9363437858856
-6.607342278183649,177.9979489295303
-6.675501859042422,177.033406791776
-6.743836878948993,176.0416090810596
-6.812346008794085,175.0213839801041
-6.881027936423223,173.9714915130268
-6.949881365819859,172.8906185323395
-7.01890501740133,171.777373224622
-7.088097627154585,170.630279146854
-7.157457946886502,169.4477686775624
-7.226984743189603,168.2281758856853
-7.296676798558041,166.9697286829999
-7.366532909329329,165.6705402503572
-7.43655188714948,164.3285995803559
-7.506732557377792,162.9417611066226
-7.577073759682698,161.5077332501524
-7.647574347645035,160.0240657754662
-7.718233188109028,158.4881358376625
-7.789049161725936,156.8971324872302
-7.860021161561899,155.2480395231155
-7.931148094825386,153.537616385522
-8.002428880138993,151.7623769254382
-8.073862449250031,149.9185656631849
-8.145447746422418,148.0021312943568
-8.21718372758151,146.0086969474401
-8.28906936065504,143.9335268399234
-8.361103625609022,141.7714886876368
-8.433285513489729,139.5170113543202
-8.50561402728925,137.1640368858592
-8.5780881804784,134.7059661846412
-8.650706998279652,132.1355971678649
-8.723469515939078,129.4450543254622
-8.796374780227618,126.6257080842556
-8.869421847637598,123.6680823880601
-8.94260978554226,120.5617482525834
-9.015937671350702,117.2952009391242
-9.089404592272768,113.85571752688
-9.16300964576766,110.22919134763
-9.23675193879343,106.3999385507186
-9.310630588071389,102.3504713978307
-9.384644719177839,98.06123121735939
-9.458793467955648,93.5102724715461
-9.533075978551917,88.67288725564501
-9.607491404607533,83.52115646337407
-9.682038908463616,78.02341066235653
-9.75671766126721,72.14357840644115
-9.831526842938343,65.84039395066804
-9.906465641697658,59.06642725901676
-9.981533254170333,51.76688842998558
-10.05672888544218,43.87814239790063
-10.13205174847253,35.32584906127627
-10.20750106453503,26.02261324177036
-10.28307606242307,15.86498744170737
-10.35877597936381,4.729608783509775
-10.43460005949285,-7.531835687263111
