Energy (MHz),Magnetic Field (G)
-3.183311974230825,207.078093645485
-3.171993016055008,207.1484949832776
-3.16064147992056,207.2188963210702
-3.149257282878902,207.2892976588629
-3.137840342558221,207.3596989966555
-3.126390577185667,207.4301003344482
-3.114907905610058,207.5005016722408
-3.103392247325117,207.5709030100334
-3.091843522493243,207.6413043478261
-3.080261651969863,207.7117056856187
-3.068646557328346,207.7821070234114
-3.056998160885487,207.852508361204
-3.045316385727599,207.9229096989966
-3.033601155737221,207.9933110367893
-3.021852395620456,208.0637123745819
-3.010070030934921,208.1341137123746
-2.998253988118368,208.2045150501672
-2.986404194517998,208.2749163879599
-2.974520578420402,208.3453177257525
-2.962603069082283,208.4157190635451
-2.950651596761777,208.4861204013378
-2.938666092750671,208.5565217391304
-2.926646489407204,208.6269230769231
-2.914592720189751,208.6973244147157
-2.902504719691246,208.7677257525084
-2.890382423674416,208.838127090301
-2.878225769107846,208.9085284280936
-2.86603469420286,208.9789297658863
-2.853809138451322,209.0493311036789
-2.841549042664237,209.1197324414716
-2.829254349011359,209.1901337792642
-2.816925001061612,209.2605351170569
-2.804560943824538,209.3309364548495
-2.792162123792684,209.4013377926422
-2.779728488985,209.4717391304348
-2.7672599889912,209.5421404682274
-2.754756575017236,209.6125418060201
-2.742218199931798,209.6829431438127
-2.729644818313893,209.7533444816054
-2.717036386501565,209.823745819398
-2.704392862641742,209.8941471571906
-2.691714206741266,209.9645484949833
-2.679000380719126,210.0349498327759
-2.666251348459862,210.1053511705686
-2.65346707586834,210.1757525083612
-2.640647530925686,210.2461538461538
-2.627792683746644,210.3165551839465
-2.614902506638205,210.3869565217391
-2.601976974159682,210.4573578595318
-2.589016063184164,210.5277591973244
-2.576019752961436,210.598160535117
-2.562988025182371,210.6685618729097
-2.549920864044887,210.7389632107023
-2.53681825632143,210.809364548495
-2.523680191428049,210.8797658862876
-2.510506661495144,210.9501672240803
-2.497297661439881,211.0205685618729
-2.484053189040324,211.0909698996655
-2.470773245011311,211.1613712374582
-2.457457833082205,211.2317725752508
-2.444106960076433,211.3021739130435
-2.430720635992941,211.3725752508361
-2.417298874089631,211.4429765886288
-2.403841690968749,211.5133779264214
-2.390349106664343,211.5837792642141
-2.376821144731842,211.6541806020067
-2.363257832339726,211.7245819397993
-2.349659200363479,211.794983277592
-2.336025283481748,211.8653846153846
-2.322356120274847,211.9357859531773
-2.308651753325649,212.0061872909699
-2.294912229322891,212.0765886287626
-2.281137599167023,212.1469899665552
-2.267327918078568,212.2173913043478
-2.253483245709205,212.2877926421405
-2.23960364625547,212.3581939799331
-2.225689188575276,212.4285953177258
-2.211739946307267,212.4989966555184
-2.197755997993101,212.569397993311
-2.183737427202721,212.6397993311037
-2.169684322662713,212.7102006688963
-2.155596778387795,212.780602006689
-2.141474893815594,212.8510033444816
-2.127318773944704,212.9214046822742
-2.113128529476184,212.9918060200669
-2.09890427695855,213.0622073578595
-2.084646138936381,213.1326086956522
-2.070354244102606,213.2030100334448
-2.056028727454604,213.2734113712374
-2.041669730454166,213.3438127090301
-2.027277401191532,213.4142140468227
-2.012851894553458,213.4846153846154
-1.998393372395577,213.555016722408
-1.983902003719045,213.6254180602007
-1.969377964851696,213.6958193979933
-1.95482143963374,213.766220735786
-1.940232619608204,213.8366220735786
-1.925611704216163,213.9070234113712
-1.91095890099702,213.9774247491639
-1.896274425793829,214.0478260869565
-1.881558502963914,214.1182274247492
-1.866811365594869,214.1886287625418
-1.852033255726143,214.2590301003345
-1.837224424576303,214.3294314381271
-1.822385132776193,214.3998327759197
-1.807515650608155,214.4702341137124
-1.792616258251431,214.540635451505
-1.777687246033974,214.6110367892977
-1.76272891469085,214.6814381270903
-1.747741575629399,214.7518394648829
-1.732725551201363,214.8222408026756
-1.717681174982196,214.8926421404682
-1.702608792057725,214.9630434782609
-1.687508759318461,215.0334448160535
-1.672381445761681,215.1038461538461
-1.657227232801596,215.1742474916388
-1.642046514587792,215.2446488294314
-1.626839698332242,215.3150501672241
